S. No.,SITE_ID,DISTRICT,Block,VILLAGE,ELEVATION,FORMATION,River Basin,Normal (1901-70),Average rainfall (2012-21) (mm),Rainfall (2021) (mm),Departure (%) in 2021 from normal rainfall,Departure (%) in 2021 from Average rainfall,MAY_bgl,AUG_bgl,NOV_bgl,JAN_bgl,DEPTH,MAY_flu,AUG_flu,NOV_flu,JAN_flu
1,W260200075060001,AJMER,SARWAR,AJAGARA,352,Gneiss,Banas,437,540.41,606,27.92,10.86,3.77,3.17,3.32,3.28,8.17,-0.05,0.82,0.62,0.65
2,W260442074223401,AJMER,MASOODA,Andheri Devi,490,Schist,Luni,437,540.41,606,27.92,10.86,12.8,13.6,12.1,12.95,23,-0.77,5.86,6.26,4.9
3,W262700075040001,AJMER,ARAIN,ARIAN,372,Gneiss,Banas,437,540.41,606,27.92,10.86,4.97,4.12,3.67,4.77,21.3,1.03,-0.24,0.1,1.04
4,W255430074120001,AJMER,JAWAJA,BAGLIAS,567,Schist,Luni,437,540.41,606,27.92,10.86,0,0,8.65,8.6,9.94,3.13,3.44,3.88,3.5
5,W261245075021001,AJMER,ARAIN,BARORA,372,Gneiss,Banas,437,540.41,606,27.92,10.86,3.34,0.64,0.69,1.49,18,-3.19,-5.28,-2.63,-2.23
6,W255324075140001,AJMER,KEKRI,BOGLA,331,Gneiss,Banas,437,540.41,606,27.92,10.86,6.42,1.52,2.07,2.22,10.07,0.17,-3.18,-1.84,-2.14
7,W262107075060001,AJMER,ARAIN,DASUK,374,Gneiss,Banas,437,540.41,606,27.92,10.86,8.35,7.8,8.25,8.45,12.5,1.88,2.5,3.47,2.32
8,W260745074554001,AJMER,SARWAR,Goelo,366,Gneiss,Banas,437,540.41,606,27.92,10.86,6.57,5.27,5.87,6.57,12.17,-0.58,-0.12,1,1.57
9,W260230074424801,AJMER,BHINAY,Gopalpura,473,Gneiss,Banas,437,540.41,606,27.92,10.86,10.4,10.4,9.4,9.7,200,-3.31,-0.88,-1.76,-2.22
10,W255600074120001,AJMER,JAWAJA,JAWAJA1,490,Schist,Luni,437,540.41,606,27.92,10.86,9.25,7.2,8.1,8.4,17.3,0.44,1.63,3.68,1.79
11,W260130074393001,AJMER,BHINAY,JHOPADIYAN,432,Gneiss,Banas,437,540.41,606,27.92,10.86,17.15,10.45,11.25,11.55,19.7,2.48,-1.25,1.33,0.76
12,W262400074520001,AJMER,SHRINAGAR,KANPURA1,409,Gneiss,Banas,437,540.41,606,27.92,10.86,3.9,3.05,2.45,2.6,10,-2.2,-1.48,-1.82,-1.96
13,W261400074293001,AJMER,PEESANGAN,LAMANA,452,Schist,Luni,437,540.41,606,27.92,10.86,16.99,11.49,11.84,11.99,20,4.95,1.11,1.7,1.97
14,W255950074350001,AJMER,MASOODA,LUDIYANA,413,Gneiss,Banas,437,540.41,606,27.92,10.86,0,0,13.23,13.53,15,3.24,3.25,3.26,3.46
15,W260712074221201,AJMER,JAWAIA,MAIDAYABADAYA,486,Schist,Luni,437,540.41,606,27.92,10.86,5.82,4.17,4.77,5.17,14.57,0.83,1.23,1.67,1.6
16,W261637074302901,AJMER,PEESANGAN,Mangaliyawas,437.57,Schist,Luni,437,540.41,606,27.92,10.86,16.9,12,13.7,13.6,22.1,3.13,0.2,3.15,2.7
17,W261830074554001,AJMER,SHRINAGAR,Morajhari,382,Gneiss,Banas,437,540.41,606,27.92,10.86,5.9,5.3,4.3,4.6,150,-2.61,-0.08,-1.35,-0.6
18,W255633075105701,AJMER,KEKRI,Nai Khera,345,Gneiss,Banas,437,540.41,606,27.92,10.86,7.95,5.55,4.6,5.25,18,0.4,-1.4,-2.22,-5.17
19,W260300074170001,AJMER,JAWAJA,NARBADKHERA,463,Schist,Luni,437,540.41,606,27.92,10.86,14.65,10.9,12.1,12.5,29,1.11,1.72,3.38,2.4
20,W261712074442501,AJMER,PEESANGAN,NASIRABAD,425,Gneiss,Banas,437,540.41,606,27.92,10.86,3.15,2.64,4,4.5,20.87,-1.17,0.19,2.33,2.67
21,W261558074370301,AJMER,PEESANGAN,Pachmata,460,Schist,Luni,437,540.41,606,27.92,10.86,13.6,11,14.1,14.2,100,-0.1,-1.05,3,1.97
22,W260517074235701,AJMER,MASOODA,PAKHRIAWAS,527,Schist,Luni,437,540.41,606,27.92,10.86,13.35,12.2,12.3,12.55,16.55,2,2.35,5.36,2.85
23,W255800074275101,AJMER,MASOODA,Ramgarh2,148,Gneiss,Banas,437,540.41,606,27.92,10.86,33.2,0,0,0,150,5.43,5.44,5.45,5.46
24,W261600074513001,AJMER,SHRINAGAR,RAMSAR2,395,Gneiss,Banas,437,540.41,606,27.92,10.86,5.9,3.3,4.1,4.42,14.1,-1.54,-1.49,-0.45,-0.48
25,W255440075023001,AJMER,SARWAR,SANPLA,359,Gneiss,Banas,437,540.41,606,27.92,10.86,9.15,0,8.3,8.5,10.35,2.61,2.62,4.02,4.03
26,W260300075000001,AJMER,SARWAR,SARWAD,364,Gneiss,Banas,437,540.41,606,27.92,10.86,2.7,1.6,1.55,1.65,7.5,-0.65,-0.76,-1.2,-1.42
27,W262147074370001,AJMER,PEESANGAN,TABIJI,457,Schist,Luni,437,540.41,606,27.92,10.86,6.21,5.81,7.21,7.41,22.36,-1.75,0.48,2.18,1.89
28,W255300074090001,AJMER,JAWAJA,TARAGARH,524,Schist,Luni,437,540.41,606,27.92,10.86,6.3,5.1,6.25,6.7,19.29,2.05,3.44,4.84,5.23
29,W263905074561001,AJMER,KISHANGARH,Tiloniya,440,Gneiss,Banas,437,540.41,606,27.92,10.86,23.6,16.45,18.7,18.85,150,0.29,-2.64,2.22,-1.53
30,W274852076272601,ALWAR,BANSUR,Alanpur,331,Older Alluvium,Sabi,626,564.08,765,18.18,26.28,51.2,44.8,45.3,45,93.6,15.63,10.2,9.76,8.02
31,W272740076235601,ALWAR,THANAGAZI,Bairawas,305,Quartzite,Ruparail,626,564.08,765,18.18,26.28,21.4,21.25,21.95,22.65,200,-0.02,1.08,3.13,2.33
32,W274130076212001,ALWAR,BANSUR,BANSUR,366,Older Alluvium,Sabi,626,564.08,765,18.18,26.28,38.25,38.7,40.05,39.25,65.54,8.26,9.29,11.04,9.45
33,W272630076313001,ALWAR,UMREN,Baran1,277,Older Alluvium,Ruparail,626,564.08,765,18.18,26.28,14.15,10.95,14.05,13.35,20,0.48,-1.37,1.55,-0.03
34,W275630076183001,ALWAR,BEHROR,Bhituda,311,Older Alluvium,Sabi,626,564.08,765,18.18,26.28,0,95.1,95.6,95,100.2,14.59,14.6,14.94,12.81
35,W275159076474401,ALWAR,KISHANGARH BAS,BOLNI,258,Older Alluvium,Ruparail,626,564.08,765,18.18,26.28,25.3,24.05,24.75,25.15,142.04,1.75,1.17,1.71,1.86
36,W271615076331301,ALWAR,RAJGARH,Dharampura,239,Quartzite,Ruparail,626,564.08,765,18.18,26.28,40.35,34.9,34.65,35.57,174,10.86,7.88,7.5,4.42
37,W271418076331801,ALWAR,RAJGARH,Doulatpura,305,Quartzite,Ruparail,626,564.08,765,18.18,26.28,32.88,25.92,24.3,24.8,80,5.53,0.43,-1.63,-0.99
38,W271230076473001,ALWAR,RENI,GADI SWAIRAM,269,Older Alluvium,Banganga,626,564.08,765,18.18,26.28,17.12,9.4,9.05,10.28,32.25,-5.04,-6.95,-7.79,-6.69
39,W274700076301501,ALWAR,MANDAWAR,GANGWALI DHANI,339,Older Alluvium,Sabi,626,564.08,765,18.18,26.28,60.4,58.15,57.8,56.1,74.08,11.19,9.53,8.59,5.17
40,W273035076595801,ALWAR,LAXMANGARH,Govindgarh-Pz,217,Older Alluvium,Ruparail,626,564.08,765,18.18,26.28,32.76,32.5,32.55,33.63,50,6.25,6.66,3.97,6.39
41,W275200076370002,ALWAR,KOTKASIM,HARSAULI,285,Older Alluvium,Sabi,626,564.08,765,18.18,26.28,0,55.75,56.3,56.6,86.64,56.61,28.25,24.46,28.36
42,W273800076200001,ALWAR,BANSUR,Holawas,383,Older Alluvium,Sabi,626,564.08,765,18.18,26.28,48.3,47.25,47.65,47.1,150,14.81,14.4,14.16,13.19
43,W275857076243001,ALWAR,NEEMRANA,Janak Singh Pura,533,Older Alluvium,Sabi,626,564.08,765,18.18,26.28,46.9,46.25,46.9,47,53.9,5.09,6.49,5.29,5.62
44,W275934076231501,ALWAR,NEEMRANA,Japaneese Zone,334,Older Alluvium,Sabi,626,564.08,765,18.18,26.28,62,62.6,63.2,64.1,107.7,10.27,11.47,9.72,7.13
45,W275548076292401,ALWAR,MANDAWAR,JASAI,295,Older Alluvium,Sabi,626,564.08,765,18.18,26.28,48.1,0,0,0,99,14.76,14.77,14.78,14.79
46,W271515076495601,ALWAR,LAXMANGARH,HALADALA,259,Older Alluvium,Banganga,626,564.08,765,18.18,26.28,32.99,31.17,31.55,33.25,45,-0.51,-2.27,-1.43,0.48
47,W271843076242801,ALWAR,RAJGARH,Kalighati Sariska,460,Hills,Banganga,626,564.08,765,18.18,26.28,9.26,6.95,6.9,7.47,30,-2.91,-0.51,-0.82,-0.82
48,W280345076214501,ALWAR,NEEMRANA,KANHAWAS,305,Older Alluvium,Sabi,626,564.08,765,18.18,26.28,57.21,74.16,74.46,74.91,129,-2.95,16.37,15.27,15.2
49,W274912076440001,ALWAR,KISHANGARH BAS,KISHANGARH BAS1,308,Older Alluvium,Sabi,626,564.08,765,18.18,26.28,58.72,58.22,58.82,57.92,76.65,17.48,16.56,18.13,16.26
50,W280155076425501,ALWAR,KOTKASIM,Kotkasim,261,Older Alluvium,Sabi,626,564.08,765,18.18,26.28,32,27.1,28.2,29.1,60,2.81,-1.19,-2.35,-0.56
51,W271213076171001,ALWAR,THANAGAZI,KUNDAL,351,Quartzite,Banganga,626,564.08,765,18.18,26.28,0,29.34,31.27,31.69,200,1.62,2.62,3.57,4.05
52,W272100076513501,ALWAR,LAXMANGARH,LACHMANGARH,228,Older Alluvium,Banganga,626,564.08,765,18.18,26.28,12.38,12.21,11.98,12.38,14,3.7,4.43,4.31,4
53,W275950076190001,ALWAR,NEEMRANA,MajriKhurd,388,Older Alluvium,Sabi,626,564.08,765,18.18,26.28,29,29.1,29.75,29.15,84.6,1.13,1.6,1.18,0.5
54,W271555076285601,ALWAR,RAJGARH,NANDU,305,Quartzite,Banganga,626,564.08,765,18.18,26.28,0,0,8.88,9.35,200,-12.75,-12.76,-12.77,-12.06
55,W275956076231501,ALWAR,NEEMRANA,Neemrana,308,Older Alluvium,Sabi,626,564.08,765,18.18,26.28,0,61.5,60.9,62.2,100,-0.02,6.12,1.63,10.06
56,W275000076560001,ALWAR,TIJARA,NIMLI,304,Older Alluvium,Ruparail,626,564.08,765,18.18,26.28,11.45,19.75,19.9,20.55,25,-0.34,8.94,6.82,6.49
57,W273900076520001,ALWAR,RAMGARH,Nogawa,224,Older Alluvium,Ruparail,626,564.08,765,18.18,26.28,0,33,33.3,32.8,150,8.82,8.83,10.59,10.26
58,W275800076430002,ALWAR,KOTKASIM,PUR1,262,Older Alluvium,Sabi,626,564.08,765,18.18,26.28,39.65,27.85,27.95,28.55,77,18.18,5.61,7.12,7.23
59,W273500076483502,ALWAR,RAMGARH,RAMGARH PZ,236,Older Alluvium,Ruparail,626,564.08,765,18.18,26.28,31.2,30.75,30.5,31.15,76.5,6.68,7.15,6.48,5.77
60,W273537076484901,ALWAR,RAMGARH,RAMGARH1,236,Older Alluvium,Ruparail,626,564.08,765,18.18,26.28,0,18.77,0,0,22,4.96,4.97,4.98,4.99
61,W275110076153201,ALWAR,BEHROR,Sota Nala,330,Older Alluvium,Sabi,626,564.08,765,18.18,26.28,27.2,49.25,49.4,49.9,96,-16,6.36,3.6,3.69
62,W280636076500601,ALWAR,TIJARA,TAPUKARA,282,Older Alluvium,Sabi,626,564.08,765,18.18,26.28,31.66,31.06,30.76,30.91,158.42,4.76,4.8,4.79,4.4
63,W271415076240001,ALWAR,RAJGARH,TEHLA,366,Quartzite,Banganga,626,564.08,765,18.18,26.28,12.15,9.2,6.95,7.25,15,5.16,4.46,2.25,1.97
64,W275559076515201,ALWAR,TIJARA,TIJARA1,218,Older Alluvium,Sabi,626,564.08,765,18.18,26.28,25.77,37.93,38.17,39.07,132.4,-4.84,8.13,7.35,8.1
65,W270705076193901,ALWAR,RAJGARH,Todi Ka Bas,349,Quartzite,Banganga,626,564.08,765,18.18,26.28,18.81,17.41,17.34,17.39,30,3.3,2.98,2.66,1.61
66,W232945074060001,BANSWARA,ARTHOONA,ARTHUNA,154,Phyllite,Mahi,870,928.33,878,0.85,-5.79,7.8,5.5,6.1,6.9,12.64,0.15,3,2.05,2.51
67,W233000074060001,BANSWARA,ARTHOONA,Arthuna1,154,Phyllite,Mahi,870,928.33,878,0.85,-5.79,9.3,6.2,7.2,7.7,150,0.15,3.73,3.07,3.49
68,W232415074160001,BANSWARA,BAGIDORA,Bagidora,213,Phyllite,Mahi,870,928.33,878,0.85,-5.79,14.43,2.83,4.43,5.68,17.68,6.33,0.76,2.27,1.98
69,W233301074410901,BANSWARA,CHHOTISARVAN,Bagtalav,346,Basalt,Mahi,870,928.33,878,0.85,-5.79,11.3,8.1,5.1,7.1,15,3.67,6.14,2.24,3.05
70,W232516074173101,BANSWARA,BAGIDORA,Bansla,199,Phyllite,Mahi,870,928.33,878,0.85,-5.79,6.3,5,6.1,6.7,142,-0.15,1.43,1.73,2.06
71,W233200074270001,BANSWARA,BANSWARA,Banswara1,242,BGC,Mahi,870,928.33,878,0.85,-5.79,6,4.2,4.6,5.6,10,-1.23,-0.14,-0.27,0.2
72,W232500074210101,BANSWARA,BAGIDORA,Barodiya,226,Phyllite,Mahi,870,928.33,878,0.85,-5.79,5.5,3.4,4.3,5.5,11.15,0.28,1.75,1.95,3.23
73,W234255074154601,BANSWARA,GARHI,Bhimpur,260,Phyllite,Mahi,870,928.33,878,0.85,-5.79,10.1,6.2,7,4.3,20,0.38,2.79,3.54,0.37
74,W234007074302001,BANSWARA,GHATOL,Bhoongra,234,BGC,Mahi,870,928.33,878,0.85,-5.79,0,5.85,6.45,3.25,10.81,-3.7,2.57,2.3,-1.61
75,W231330074183601,BANSWARA,SAJJANGARH,Bhura Kua,250,Phyllite,Mahi,870,928.33,878,0.85,-5.79,8.4,6.7,5.1,6.7,10.5,0.91,4.77,2.51,3.68
76,W231937074214201,BANSWARA,SAJJANGARH,Bilari,241,Phyllite,Mahi,870,928.33,878,0.85,-5.79,11.1,0.3,1.1,2.1,15,4.85,-0.68,-0.96,-1.01
77,W233430074070001,BANSWARA,ARTHOONA,Borigoan,150,Phyllite,Mahi,870,928.33,878,0.85,-5.79,8.8,7.7,6,6.4,150,0.89,5.5,2.17,2.71
78,W233033074230401,BANSWARA,TALWARA,Borwat,197,BGC,Mahi,870,928.33,878,0.85,-5.79,5.1,3.2,3.9,4.5,40,0.32,1.2,1.31,1.98
79,W231846074224701,BANSWARA,KUSHALGARH,Charakni,241,Basalt,Mahi,870,928.33,878,0.85,-5.79,10.3,5.31,3.3,4.4,8.2,2.3,3.52,0.29,-0.13
80,W232600074033101,BANSWARA,ANANDPURI,CHHAJA,134,Phyllite,Mahi,870,928.33,878,0.85,-5.79,12.4,8.1,2.5,3.4,150,-1.42,6.12,-2.58,-4.66
81,W231800074190001,BANSWARA,SAJJANGARH,Chhinch,238,Phyllite,Mahi,870,928.33,878,0.85,-5.79,2.1,0,0,3.5,150,0.21,2.61,2.62,2.63
82,W231311074350001,BANSWARA,KUSHALGARH,Chhoti Sarwa,340,Basalt,Mahi,870,928.33,878,0.85,-5.79,3.4,2.1,2.9,4.1,150,-6.82,1.08,0.16,-4.38
83,W233033074223901,BANSWARA,TALWARA,Chiriyawasa,197,BGC,Mahi,870,928.33,878,0.85,-5.79,4.5,3,2.4,1.9,11.5,-0.88,1.24,-0.18,-0.46
84,W231020074172501,BANSWARA,SAJJANGARH,CHOTA DUNGRA,258,Phyllite,Mahi,870,928.33,878,0.85,-5.79,6.03,4.73,5.23,6.63,9.8,-1.44,2.91,2.07,2.9
85,W233327074360401,BANSWARA,CHHOTISARVAN,Danakshari,289,Basalt,Mahi,870,928.33,878,0.85,-5.79,3.5,2.1,3.2,4.9,10,-2.07,0.42,0.71,0.82
86,W233100074430001,BANSWARA,CHHOTISARVAN,Danpur,374,Basalt,Mahi,870,928.33,878,0.85,-5.79,0.65,0.55,1.65,1.95,12,-7.05,-1.18,-1.49,-2.41
87,W235150074273001,BANSWARA,GHATOL,DUNGARIA,195,Phyllite,Mahi,870,928.33,878,0.85,-5.79,8.6,10,10.8,5.6,17,-2.45,5.95,4.99,0.28
88,W234600074151001,BANSWARA,GHATOL,GANORA,170,Phyllite,Mahi,870,928.33,878,0.85,-5.79,7.44,5.24,0.84,0.09,9.74,3.65,4.38,-0.99,-1.46
89,W233524074103001,BANSWARA,GARHI,GARHI PARTAPURA,152,Phyllite,Mahi,870,928.33,878,0.85,-5.79,4.3,3,3.6,5.1,17.15,-7.23,-2.34,-2.09,-0.94
,,BANSWARA,SAJJANGARH,Bhura Kua,250,Phyllite,Mahi,870,928.33,878,0.85,-5.79,8.4,6.7,5.1,6.7,10.5,8.26,9.29,11.04,9.45
,,BANSWARA,SAJJANGARH,Bilari,241,Phyllite,Mahi,870,928.33,878,0.85,-5.79,11.1,0.3,1.1,2.1,15,0.48,-1.37,1.55,-0.03
,,BANSWARA,ARTHOONA,Borigoan,150,Phyllite,Mahi,870,928.33,878,0.85,-5.79,8.8,7.7,6,6.4,150,14.7,14.60,14.94,12.81
,,BANSWARA,TALWARA,Borwat,197,BGC,Mahi,870,928.33,878,0.85,-5.79,5.1,3.2,3.9,4.5,40,1.75,1.17,1.71,1.86
,,BANSWARA,KUSHALGARH,Charakni,241,Basalt,Mahi,870,928.33,878,0.85,-5.79,10.3,5.31,3.3,4.4,8.2,10.86,7.88,7.50,4.42
,,BANSWARA,ANANDPURI,CHHAJA,134,Phyllite,Mahi,870,928.33,878,0.85,-5.79,12.4,8.1,2.5,3.4,150,5.53,0.43,-1.63,-0.99
,,BANSWARA,SAJJANGARH,Chhinch,238,Phyllite,Mahi,870,928.33,878,0.85,-5.79,2.1,0,0,3.5,150,-5.04,-6.95,-7.79,-6.69
,,BANSWARA,KUSHALGARH,Chhoti Sarwa,340,Basalt,Mahi,870,928.33,878,0.85,-5.79,3.4,2.1,2.9,4.1,150,11.19,9.53,8.59,5.17
,,BANSWARA,TALWARA,Chiriyawasa,197,BGC,Mahi,870,928.33,878,0.85,-5.79,4.5,3,2.4,1.9,11.5,6.25,6.66,3.97,6.39
,,BANSWARA,SAJJANGARH,CHOTA DUNGRA,258,Phyllite,Mahi,870,928.33,878,0.85,-5.79,6.03,4.73,5.23,6.63,9.8,27.25,28.25,24.46,28.36
,,BANSWARA,CHHOTISARVAN,Danakshari,289,Basalt,Mahi,870,928.33,878,0.85,-5.79,3.5,2.1,3.2,4.9,10,14.81,14.40,14.16,13.19
,,BANSWARA,CHHOTISARVAN,Danpur,374,Basalt,Mahi,870,928.33,878,0.85,-5.79,0.65,0.55,1.65,1.95,12,5.09,6.49,5.29,5.62
,,BANSWARA,GHATOL,DUNGARIA,195,Phyllite,Mahi,870,928.33,878,0.85,-5.79,8.6,10,10.8,5.6,17,10.27,11.47,9.72,7.13
,,BANSWARA,GHATOL,GANORA,170,Phyllite,Mahi,870,928.33,878,0.85,-5.79,7.44,5.24,0.84,0.09,9.74,14.76,14.87,14.75,14.78
,,BANSWARA,GARHI,GARHI PARTAPURA,152,Phyllite,Mahi,870,928.33,878,0.85,-5.79,4.3,3,3.6,5.1,17.15,-0.51,-2.27,-1.43,0.48
,,BANSWARA,KUSHALGARH,Kalakhet_Pz,311,Hills,Mahi,870,928.33,878,0.85,-5.79,4.1,2.8,1,2.1,100,-2.91,-0.51,-0.82,-0.82
,,BANSWARA,CHHOTISARVAN,Katumbi Dw,343,Basalt,Mahi,870,928.33,878,0.85,-5.79,0,0,0,5.8,10,-2.95,16.37,15.27,15.20
,,BANSWARA,BANSWARA,Khera Dahar,249,BGC,Mahi,870,928.33,878,0.85,-5.79,0,1.2,2,1.5,11,17.48,16.56,18.13,16.26
,,BANSWARA,ARTHOONA,Kotra1,162,Phyllite,Mahi,870,928.33,878,0.85,-5.79,9.8,8.3,8.9,9.7,150,2.81,-1.19,-2.35,-0.56
,,BANSWARA,KUSHALGARH,KUSALGARH,297,Basalt,Mahi,870,928.33,878,0.85,-5.79,3.88,2.77,3.97,5.57,8.52,1.65,2.62,3.57,4.05
,,BANSWARA,KUSHALGARH,Kusalgarh Pz,300,Basalt,Mahi,870,928.33,878,0.85,-5.79,6.2,4.1,5.5,5.8,150,3.70,4.43,4.31,4.00
,,BANSWARA,GHATOL,NARWALI,184,BGC,Mahi,870,928.33,878,0.85,-5.79,5.85,2.15,2.55,3.55,6,1.13,1.60,1.18,0.50
,,BANSWARA,BANSWARA,Padla Barora,263,BGC,Mahi,870,928.33,878,0.85,-5.79,6.9,4.2,2.1,11.4,12.5,-12.56,-12.34,-12.77,-12.06
,,BANSWARA,ARTHOONA,Raiyana,175.925,Phyllite,Mahi,870,928.33,878,0.85,-5.79,3.61,5.4,5.5,5.8,8,4.32,6.12,1.63,10.06
,,BANSWARA,BAGIDORA,RAKHO,222,Phyllite,Mahi,870,928.33,878,0.85,-5.79,3.69,1.79,2.29,2.69,13.63,-0.34,8.94,6.82,6.49
,,BANSWARA,GHATOL,Sadri,239,Hills,Mahi,870,928.33,878,0.85,-5.79,0,3.95,2.15,2.55,10,8.75,8.83,10.59,10.26
,,BANSWARA,KUSHALGARH,Saran,291,Basalt,Mahi,870,928.33,878,0.85,-5.79,3.7,1.5,2.6,2.8,10,18.18,5.61,7.12,7.23
,,BANSWARA,GHATOL,SENWASA,195,Phyllite,Mahi,870,928.33,878,0.85,-5.79,6.37,4.57,5.47,3.47,11.9,6.68,7.15,6.48,5.77
,,BANSWARA,BANSWARA,Surwania,214.382,Limestone,Mahi,870,928.33,878,0.85,-5.79,2.7,1.9,2.1,2.5,7.5,4.96,4.97,4.98,4.99
,,BANSWARA,GARHI,Wajwana,167,Limestone,Mahi,870,928.33,878,0.85,-5.79,7.8,4.4,5,5.7,150,-16.00,6.36,3.60,3.69
,,BARAN,ANTAH,ANTA1,249,Limestone,Chambal,895.3,1044.77,1363,34.31,23.34,4.66,1.81,3.41,3.53,8,4.76,4.80,4.79,4.40
,,BARAN,ATRU,ATRU1,284,Sandstone,Chambal,896.3,1045.77,1364,35.31,24.34,6.39,0.11,4.19,4.24,11.12,5.16,4.46,2.25,1.97
,,BARAN,BARAN,BAMLA,276,Limestone,Chambal,897.3,1046.77,1365,36.31,25.34,6,1.04,4.2,4.01,10.87,0,0,0,0
,,BARAN,KISHANGANJ,Banthoni,276,Sandstone,Chambal,898.3,1047.77,1366,37.31,26.34,11.1,1.84,6.58,4.1,150,-4.84,8.13,7.35,8.10
,,BARAN,BARAN,Baran,259,Sandstone,Chambal,899.3,1048.77,1367,38.31,27.34,6.5,0.54,0.95,0.35,20,3.30,2.98,2.66,1.61
,,BARAN,KISHANGANJ,BHANWARGARH,321,Sandstone,Chambal,900.3,1049.77,1368,39.31,28.34,4.44,0.21,1.22,0.94,13.7,0.15,3.00,2.05,2.51
,,BARAN,ANTAH,BOHAT,241,Limestone,Chambal,901.3,1050.77,1369,40.31,29.34,0,2.42,8.02,0,11,0.15,3.73,3.07,3.49
,,BARAN,CHHABRA,Chhabra_GWD,348.254,Sandstone,Chambal,902.3,1051.77,1370,41.31,30.34,0,0,18.1,0,50,6.33,0.76,2.27,1.98
,,BARAN,CHHIPABAROD,CHHIPA BAROD,334,Basalt,Chambal,903.3,1052.77,1371,42.31,31.34,10.98,1.88,8.65,8.91,15,3.67,6.14,2.24,3.05
,,BARAN,CHHIPABAROD,HARNAUDA,330,Basalt,Chambal,904.3,1053.77,1372,43.31,32.34,10.12,2.02,6.27,7.02,11,-0.15,1.43,1.73,2.06
,,BARAN,ATRU,KANWAI,310,Sandstone,Chambal,905.3,1054.77,1373,44.31,33.34,8.19,3.19,6.51,0,9,-1.23,-0.14,-0.27,0.20
,,BARAN,SHAHBAD,Kasba Thana,392,Shale,Chambal,906.3,1055.77,1374,45.31,34.34,6.6,2.3,4.7,4.8,10.9,0.28,1.75,1.95,3.23
,,BARAN,SHAHBAD,KELWARA1,363,Sandstone,Chambal,907.3,1056.77,1375,46.31,35.34,3.8,0,2.2,1.96,5,0.38,2.79,3.54,0.37
,,BARAN,KISHANGANJ,KISHANGANJ1,257,Sandstone,Chambal,908.3,1057.77,1376,47.31,36.34,12.51,0.74,3.21,2.31,14.5,2.56,2.57,2.30,-1.61
,,BARAN,SHAHBAD,MAMONI,475,Sandstone,Chambal,909.3,1058.77,1377,48.31,37.34,9.92,10.12,6.02,2.52,11,0.91,4.77,2.51,3.68
,,BARAN,ANTAH,MANGROL,238,Limestone,Chambal,910.3,1059.77,1378,49.31,38.34,6.33,2.53,4.23,4.23,8.81,4.85,-0.68,-0.96,-1.01
,,BARAN,SHAHBAD,PAJAL TORI,315,Shale,Chambal,911.3,1060.77,1379,50.31,39.34,11.6,1.9,6.49,6.55,13.2,0.89,5.50,2.17,2.71
,,BARAN,CHHIPABAROD,SARTHAL,311,Basalt,Chambal,912.3,1061.77,1380,51.31,40.34,5.3,1.5,1.5,1.6,8,0.32,1.20,1.31,1.98
,,BARAN,SHAHBAD,SHAHABAD1,470,Sandstone,Chambal,913.3,1062.77,1381,52.31,41.34,5.03,1.59,2.98,3.43,7.3,2.30,3.52,0.29,-0.13
,,BARAN,ANTAH,UDPURIA,240,Limestone,Chambal,914.3,1063.77,1382,53.31,42.34,4.55,1.9,4.25,4.2,6.87,-1.42,6.12,-2.58,-4.66
,,BARMER,SINDHARI,ARNIYALI,90,Younger Alluvium,Luni,260,318.66,274,5.16,-16.24,40.6,41.75,41.95,41.95,64,0.21,2.65,2.64,2.63
,,BARMER,BAYTOO,BAITU1,156,Tertiary Sandstone,Luni,260,318.66,274,5.16,-16.24,32.52,32.72,32.72,32.87,41.52,-6.82,1.08,0.16,-4.38
,,BARMER,GADRAROAD,BALEWA,216,Granite,The Outside Basin,260,318.66,274,5.16,-16.24,22,21.8,21.8,22.2,33.7,-0.88,1.24,-0.18,-0.46
,,BARMER,BALOTRA,Balotra,110.72,Younger Alluvium,Luni,260,318.66,274,5.16,-16.24,33.9,35.1,34.7,35.1,60,-1.44,2.91,2.07,2.90
,,BARMER,BARMER,BARMER1,187,Rhyolite,The Outside Basin,260,318.66,274,5.16,-16.24,17.35,15.3,15.25,15.75,40,-2.07,0.42,0.71,0.82
,,BARMER,RAMSAR,Bhachbhar,201,Rhyolite,The Outside Basin,260,318.66,274,5.16,-16.24,22.25,22.8,0,22.1,27,-7.05,-1.18,-1.49,-2.41
,,BARMER,BARMER,Bhadka1,193,Rhyolite,The Outside Basin,260,318.66,274,5.16,-16.24,85.9,86.3,86.7,86,156,-2.45,5.95,4.99,0.28
,,BARMER,BARMER,Bhotia,193,Tertiary Sandstone,The Outside Basin,260,318.66,274,5.16,-16.24,80.05,80.5,80.8,81.1,200,3.65,4.38,-0.99,-1.46
,,BARMER,BARMER,BISALA,228,Rhyolite,The Outside Basin,260,318.66,274,5.16,-16.24,13.75,13.35,13.35,13.25,20,-7.23,-2.34,-2.09,-0.94
,,BARMER,SHEO,BISUKALAN,240,Tertiary,The Outside Basin,260,318.66,274,5.16,-16.24,34.9,34.5,0,0,37.3,-0.28,1.00,-2.00,-1.60
,,BARMER,CHOHTAN,Chauhtan DW,172,Older Alluvium,The Outside Basin,260,318.66,274,5.16,-16.24,0,51.1,49.6,51.4,250,1.42,1.43,1.42,1.42
