Sno,District,Block,Village,Avg Rainfall,LAT,LONG,Depth,Elevation,May_decade_bgl,Aug_decade_bgl,Nov_decade_bgl,Jan_decade_bgl,May_bgl,Aug_bgl,Nov_bgl,Jan_bgl,May_rise,Aug_rise,Nov_rise,Jan_rise
W261258072373401,BARMER,Balotra,PARALIA DHAMAT,72.63,26.22,0.5,200,166,11.08,11.49,11.45,11.11,11.8,11.97,11.85,11.2,0.72,0.48,0.4,0.09
W250720071352001,BARMER,Dhorimanna,PIPARLI GAON,71.59,25.12,1,58,50,7.75,7.21,7.34,8.36,7.8,0,0,7.8,0.06,,,-0.56
W254101071371501,BARMER,Sindhari,RAWATSARI,71.62,25.68,1,144.4,148,65.62,64.05,65.7,66.52,0,62.9,61.95,62.35,,-1.14,-3.75,-4.17
W255045070592301,BARMER,Sheo,REDANA,70.99,25.85,1.58,26.55,221,17.2,15.42,14.55,15.47,0,22.12,20.52,24.12,,6.7,5.98,8.65
W260327071300901,BARMER,Baetu,Rewali,71.5,26.06,1,130,221,93.13,94,93.07,93.6,96.5,97.2,96.35,97.3,3.37,3.2,3.28,3.7
W252847071240001,BARMER,Barmer,SANAWARA,71.4,25.48,1.69,51.31,123,44.42,44.88,44.62,44.64,45.56,45.81,45.51,45.56,1.14,0.93,0.89,0.93
W253509071140001,BARMER,Barmer,SANLOR,71.23,25.59,1.7,32,198,27.66,28,27.43,27.71,28.6,28.7,28.7,28.8,0.94,0.7,1.27,1.09
W254215071244501,BARMER,Barmer,Sansiyan,71.41,25.7,1.55,74.64,181,22.13,21.67,20.83,20.92,22.05,25.35,27.25,24.15,-0.08,3.68,6.42,3.23
W255951071580301,BARMER,Baetu,Santara,71.97,26,0,7.8,141.83,4.8,3.87,4.77,4.27,4.2,4.45,3.25,3.4,-0.6,0.58,-1.52,-0.87
W244912071093001,BARMER,Chohtan,Sata Pz,71.16,24.82,1,250,31,6.03,5.75,6.11,6.45,7.3,7.45,7.3,7.6,1.27,1.7,1.2,1.16 TH
W260901071482401,BARMER,Baetu,SAUPADAMSINGH,71.81,26.15,1.49,32.06,213,21.51,21.39,20.89,21.59,21.71,22.31,22.07,22.41,0.2,0.92,1.18,0.82
W254518071050001,BARMER,Barmer,SIHANI,71.23,25.59,1.05,25.41,280,20.4,15.41,16.38,16.79,0,24.05,22.45,14.65,,8.64,,
W253400071540001,BARMER,Sindhari,SINDARI,71.9,25.57,1,50,88,15.7,15.83,15.57,15.73,16.13,16.2,16.2,16.2,0.43,0.38,,
W252015070515501,BARMER,Chohtan,SIYAGA TALA,70.87,25.34,1.56,74,166,64.51,64.17,66.11,65.44,66.04,66.29,63.34,63.19,1.53,2.12,,
W254830071022001,BARMER,Barmer,"SUTHARON KI
 DHANI",71.04,25.81,1.3,28.2,229,16.33,14.57,13.98,14.67,20.4,0,0,20.5,4.08,,,
W245010071130001,BARMER,Chohtan,TARLA,71.22,24.84,0.5,6.98,43,4.35,4.18,4.17,4.16,4.3,4,4.5,4.4,-0.05,-0.18,,
W260300072213001,BARMER,Balotra,THOB,72.36,26.05,1.26,28.04,157,19.47,14.13,13.01,15.76,23.54,16.81,15.64,16.84,4.08,2.68,,
W261213072291901,BARMER,Balotra,Thoombli,72.49,26.2,0,28.2,172.74,24.25,24.2,23.89,23.45,26.8,23.68,23.35,22.6,2.55,-0.52,,
W265416077223401,BHARATPUR,Bayana,BANDH BARETA,77.38,26.9,0.15,10,201,3.47,2.79,3.14,2.86,6.21,3.27,2.89,3.71,2.74,0.48,,
W271330077053001,BHARATPUR,Nadbai,BAONLI CHAN,77.09,27.23,1,100,213,31.8,30.96,31.09,31.77,42.87,36.25,36.4,36.9,11.07,5.29,,
W265750077232401,BHARATPUR,Bayana,BAWARI BARODA,77.39,26.96,0.9,10,192,6.92,5.99,6.26,6.38,6.06,7.66,7.85,8.05,-0.86,1.67,,
W265820077150501,BHARATPUR,Bayana,Bhagori DW,77.25,26.97,0.5,20,199,14.3,11.76,12.38,13.26,17.85,12.5,12.65,15,3.55,0.74,,
W271300077300001,BHARATPUR,Sewar,Bharatpurl,77.5,27.22,0.76,8.39,179,3.41,2.72,3.38,3.14,1.05,0.74,0.74,0.84,-2.36,-1.98,,
W271100077400002,BHARATPUR,Sewar,CHIKSANA,77.67,27.18,0.26,22,179,,18.14,18.64,18.63,19.86,18.04,18.24,18.64,,-0.1,,
W270700077040002,BHARATPUR,Weir,Chokarwada,77.07,27.12,1,91,216,49.58,47.74,49.31,51.8,54.75,54.19,55.76,54.8,5.17,6.45,,
W265945077293002,BHARATPUR,Roopwas,DAHINAGAON,77.49,27,0.82,17,181,11.23,11.35,11.06,10.77,12.43,10.48,10.78,11.23,1.2,-0.87,,
W272848077190001,BHARATPUR,Deeg,Deeg,77.32,27.48,11,129.2,181,3.62,2.64,2.42,3.9,7.98,0,0,1.35,4.36,,,
W273917077034801,BHARATPUR,Nagar,Gopalgarh,77.06,27.65,1.1,12.3,198,9.17,8.57,9.04,9.16,11.5,10.46,10.5,11,2.33,1.89,,
W270652077090001,BHARATPUR,Weir,HALENA,77.15,27.11,1,52.64,207,39.92,35.41,35.79,39.47,39.8,37.6,37.68,40.22,-0.12,2.19,,
W273130077043001,BHARATPUR,Nagar,JAISARI,77.08,27.53,1,121.65,206,9.55,9.65,9.54,9.76,14.65,14.25,14.15,14.9,5.1,4.6,,
W264605077255201,BHARATPUR,Bayana,Jaisora,77.43,26.77,1,60,219,9.71,8.07,10.95,10.81,14.87,5.92,6.1,6.95,5.17,-2.15,,
W274656077133601,BHARATPUR,Kama,JURAHRA,77.23,27.78,0.78,15.5,188,7.94,7.33,7.53,8.33,11.34,8.72,8.72,9.24,3.4,1.39,,
W270200077330001,BHARATPUR,Roopwas,KHANUA,77.55,27.03,0.53,13,181,8.98,8.1,8.75,8.38,11.77,11.67,11.57,11.2,2.79,3.57,,
W265700077230001,BHARATPUR,Bayana,Kheria Mod,77.38,26.95,0.4,11.2,194,5,5.06,6.5,5.38,6.56,6.8,6.83,7.49,1.56,1.74,,
W271900077230005,BHARATPUR,Kumher,KUMHER,77.38,27.32,1,12,182,3.84,3.63,2.86,2.98,2.85,1.31,1.4,0.15,-0.99,-2.32,,
W271030077234201,BHARATPUR,Sewar,Ludhawai GWD,77.4,27.18,0,10.9,184,7.51,6.56,6.57,6.53,6.38,4.75,4.9,5.55,-1.13,-1.81,,
W270951077191401,BHARATPUR,Nadbai,Lulhara,77.32,27.16,1,60,191,20.6,17.47,19,,0,0,0,18.96,,,,
W272342077210901,BHARATPUR,Deeg,MANDHERA,77.35,27.4,0.29,20,181,10.4,10.03,9.72,10.03,13.31,11.61,11.71,11.05,2.91,1.59,,
W271230077124501,BHARATPUR,Nadbai,NADBAI,77.21,27.21,1.08,90.62,203,17.2,16.43,17.86,18.16,20.55,20.27,21.42,22.73,3.35,3.84,,
W270854077043401,BHARATPUR,Weir,Newada Deep,77.08,27.15,1,98,212,25.89,25.56,28.08,27.97,42.37,33.43,33.4,33.9,16.48,7.87,,
W270854077043501,BHARATPUR,Weir,Newada Shallow,77.08,27.15,1,98,212,24.89,25.23,27.74,27.75,42.19,33,33.1,33.2,17.3,7.77,,
W273300077180002,BHARATPUR,Deeg,Pasta,77.3,27.55,1,152,186,5.63,8.32,9.57,10.4,8.73,7.1,7.25,7.9,3.1,-1.22,,
W273412077180001,BHARATPUR,Deeg,SIHORA,77.3,27.57,0.75,15,186,9.16,9.12,9.19,9.18,8.05,6.55,7.85,8.15,-1.11,-2.57,,
W270050077103001,BHARATPUR,Weir,WEIR1,77.18,27.01,1.13,92.2,217,22.39,20.17,21.1,22,38.62,33.97,33.91,37.57,16.23,13.8,12.81,15.57
W254200075211501,BHILWARA,Jahazpur,AMARWASI,75.35,25.7,0.31,6.99,331,3.04,1.67,1.87,1.58,1.59,1.19,1.59,1.69,-1.45,-0.48,-0.28,0.11
W252819074430601,BHILWARA,Banera,BABRANA,74.72,25.47,0.5,200,368,3.51,1.23,1.33,5.83,4,1.88,1.72,2.1,0.5,0.66,0.39,-3.73
W255000074170001,BHILWARA,Asind,BADNOR,74.28,25.83,1.02,15,495,7.43,3.78,6.33,4.99,8.48,7.68,9.03,9.13,1.05,3.9,2.7,4.14
W253113075073401,BHILWARA,Jahazpur,Bagudar,75.13,25.52,0.5,200,286,3.65,2.11,2.4,2.23,3.7,2.7,3.2,3.5,0.05,0.59,0.8,1.28
W252659074215602,BHILWARA,Mandal,BAKLI Pz,74.37,25.45,0.5,200,450,27.65,17.3,4.23,8.32,38,20.92,0,8.88,10.35,3.62,,0.57
W252915074395401,BHILWARA,Banera,BANERAMATAJI,74.67,25.49,0.7,19,423,16.22,10.74,12.67,12.22,17.3,14.47,8.9,10.8,1.08,3.73,-3.77,-1.42
W254530074280001,BHILWARA,Asind,BARASNI,74.47,25.76,1.32,23.68,437,13.95,9.54,8.13,8.63,13.03,7.58,8.83,8.98,-0.92,-1.96,0.71,0.35
W252809075031801,BHILWARA,Kotri,Bhagwanpura,75.06,25.47,0,13.3,362,8.87,6.11,4.95,5.8,7.1,3.2,3.5,3.9,-1.77,-2.91,-1.45,-1.9
W252700074512602,BHILWARA,SHAHPURA,Bhojpur_Pz,74.86,25.45,0.5,200,319,6.05,2.48,0.94,1.5,4.6,1.2,1.35,0.95,-1.45,-1.28,0.42,-0.55
W253820075065501,BHILWARA,Jahazpur,Bhopalpural,75.12,25.64,0.4,14,346,8.04,6.17,5.56,7.01,3.6,0.4,0.5,0.7,-4.44,-5.77,-5.06,-6.31
W251440075014701,BHILWARA,Mandalgarh,BIGOD,75.03,25.24,0.7,10.9,358,8.69,3.78,5.61,3.48,9.7,2.85,3.56,1.68,1.02,-0.93,-2.05,-1.8
W251012075192201,BHILWARA,Mandalgarh,BIJOLIA,75.32,25.17,0.47,15.38,528,7.86,4.56,4.77,5.29,5.63,5.33,2.96,3.28,-2.23,0.77,-1.81,-2.01
W254100075200001,BHILWARA,Jahazpur,BORANI,75.33,25.68,0.41,20,345,14.6,9.02,10.83,11.78,9.89,16.99,13.49,13.59,-4.71,7.97,2.67,1.81
W253140074180301,BHILWARA,Mandal,Dahimatha,74.3,25.53,0.16,25,493,21.41,15.89,17.8,17.85,21.85,22.37,16.93,24.5,0.44,6.49,-0.87,6.65
W251500074025501,BHILWARA,Raipur,Dangri,74.05,25.26,0.5,200,529,15.99,18.23,15.33,16.35,20.7,18.8,18.87,19.85,4.71,0.57,3.55,3.5
W253800074191201,BHILWARA,Asind,Daulatgarh,74.32,25.63,0.2,29.8,529,9.37,4.78,4.46,4.83,6.8,5.3,3.48,4.3,-2.57,0.52,-0.98,-0.53
